40 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_rih0ng,rhymel4_uh1rih0ng,rhymel5_yuh1rih0ng,rhymel6_kyuh1rih0ng
41 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_sih0ng,rhymel4_eh1sih0ng,rhymel5_reh1sih0ng
42 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_sih0ng,rhymel4_ksih0ng
43 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ey2tih0ng,rhymel5_er0ey2tih0ng,rhymel6_per0ey2tih0ng
44 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ey2tih0ng,rhymel5_ney2tih0ng,rhymel6_ah0ney2tih0ng,rhymel7_mah0ney2tih0ng
45 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ih0tih0ng
46 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ktih0ng
47 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ktih0ng,rhymel5_ae1ktih0ng
48 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ktih0ng,rhymel5_ae1ktih0ng,rhymel6_rae1ktih0ng,rhymel7_trae1ktih0ng
49 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ntih0ng,rhymel5_eh1ntih0ng,rhymel6_veh1ntih0ng
50 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ow1tih0ng
51 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_stih0ng,rhymel5_eh1stih0ng
52 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_stih0ng,rhymel5_eh1stih0ng,rhymel6_teh1stih0ng
53 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_stih0ng,rhymel5_ih1stih0ng,rhymel6_zih1stih0ng
54 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_uw1tih0ng,rhymel5_yuw1tih0ng
55 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_vih0ng,rhymel4_er1vih0ng,rhymel5_zer1vih0ng
56 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_zih0ng
57 0 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_zih0ng,rhymel4_ay2zih0ng,rhymel5_day2zih0ng
58 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_zih0ng,rhymel4_ow1zih0ng,rhymel5_pow1zih0ng
59 0 AJ_AbsVerbal+,V_BaseFin,V_IngFin
60 0 AJ_AbsVerbal+,V_EnFin
61 6 AJ_AbsVerbal+,V_EnFin,begins_with_a_vowel
62 0 AJ_AbsVerbal+,V_EnFin,begins_with_a_vowel,rhymel2_ah0n,rhymel3_dah0n,rhymel4_ih1dah0n
63 0 AJ_AbsVerbal+,V_EnFin,begins_with_a_vowel,rhymel2_ah0n,rhymel3_kah0n
