0 1 ''BAD_TYPE_CODE-example--see_dconst.h''
1 2 AJ_3sg-AbsVerbal-Mod
2 1 AJ_3sg-AbsVerbal-Mod,V_3sg-BaseMod
3 3 AJ_3sg-AbsVerbal-Mod,begins_with_a_vowel
4 1 AJ_3sg-PlAbsVerbal,begins_with_a_vowel
5 5451 AJ_AbsVerbal
6 32 AJ_AbsVerbal+
7 1 AJ_AbsVerbal+,AJ_AbsVerbal+CFormGen+,N_SgVerbal+,N_SgVerbal+CFormGen+,V_IngFin-CFormGen+,begins_with_a_vowel
8 2 AJ_AbsVerbal+,AJ_AbsVerbal+CFormGen+,V_EnFin-CFormGen+
9 2 AJ_AbsVerbal+,AJ_AbsVerbal+CFormGen+,V_EnFin-CFormGen+,begins_with_a_vowel
10 1 AJ_AbsVerbal+,AJ_AbsVerbal+CFormGen+,V_EnFin-CFormGen+,rhymel2_ts,rhymel3_ah0ts,rhymel4_mah0ts
11 2 AJ_AbsVerbal+,AJ_AbsVerbal+CFormGen+,begins_with_a_vowel
12 92 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin
13 67 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel
14 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng
15 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_dih0ng,rhymel4_iy1dih0ng,rhymel5_siy1dih0ng
16 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_kih0ng
17 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_lih0ng,rhymel4_ah0lih0ng,rhymel5_gah0lih0ng,rhymel6_nggah0lih0ng,rhymel7_ih1nggah0lih0ng
18 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_nih0ng
19 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_pih0ng,rhymel4_mpih0ng,rhymel5_ah1mpih0ng
20 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ey2tih0ng,rhymel5_mey2tih0ng,rhymel6_ah0mey2tih0ng
21 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_tih0ng,rhymel4_ktih0ng,rhymel5_ae1ktih0ng
22 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_vih0ng,rhymel4_iy1vih0ng
23 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,begins_with_a_vowel,rhymel2_ih0ng,rhymel3_vih0ng,rhymel4_iy1vih0ng,rhymel5_liy1vih0ng
24 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,name_other
25 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_ay2ih0ng
26 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_ay2ih0ng,rhymel4_fay2ih0ng,rhymel5_ah0fay2ih0ng,rhymel6_sah0fay2ih0ng
27 1 AJ_AbsVerbal+,N_SgVerbal+,V_IngFin,rhymel2_ih0ng,rhymel3_chih0ng,rhymel4_iy1chih0ng,rhymel5_riy1chih0ng
